timestamp,game_round,map,latency,killer_ip,victim_ip,player_ip,suicide_count,deaths_total,killed_by_Player_172.19.137.208,killed_Player_172.19.137.208,killed_by_Player_172.19.114.48,killed_Player_172.19.114.48,killed_by_Player_172.19.119.51,killed_Player_172.19.119.51,killed_by_Player_172.19.116.18,killed_Player_172.19.116.18,killed_by_Player_172.19.120.104,killed_Player_172.19.120.104,killed_by_Player_172.19.117.18,killed_Player_172.19.117.18
2024-05-23 12:46:23,11,aggressor,50.0,Player_172.19.114.48,Player_172.19.119.51,Player_172.19.114.48,0,1,0,0,1,0,0,1,0,0,0,0,0,0
2024-05-23 12:46:28,11,aggressor,50.0,Player_172.19.114.48,Player_172.19.120.104,Player_172.19.114.48,0,2,1,0,1,0,0,1,0,0,0,1,0,0
2024-05-23 12:46:55,11,aggressor,50.0,Player_172.19.114.48,Player_172.19.117.18,Player_172.19.114.48,0,1,0,0,1,0,0,1,0,0,0,1,0,1
2024-05-23 12:46:56,11,aggressor,50.0,Player_172.19.114.48,Player_172.19.137.208,Player_172.19.114.48,0,1,0,1,1,0,0,1,0,0,0,1,0,1
2024-05-23 12:47:07,11,aggressor,50.0,Player_172.19.114.48,Player_172.19.119.51,Player_172.19.114.48,0,4,0,1,2,0,0,2,0,0,0,1,2,1
2024-05-23 12:47:42,11,aggressor,50.0,Player_172.19.114.48,Player_172.19.120.104,Player_172.19.114.48,0,5,1,1,2,0,1,2,1,0,0,2,0,1
2024-05-23 12:47:54,11,aggressor,50.0,Player_172.19.114.48,Player_172.19.114.48,Player_172.19.114.48,1,7,1,1,1,1,3,2,0,0,0,2,2,1
2024-05-23 12:47:58,11,aggressor,50.0,Player_172.19.114.48,Player_172.19.137.208,Player_172.19.114.48,1,6,0,2,2,1,3,2,0,0,0,2,1,1
2024-05-23 12:48:19,11,aggressor,50.0,Player_172.19.114.48,Player_172.19.117.18,Player_172.19.114.48,1,3,0,2,2,1,1,2,0,0,0,2,0,2
2024-05-23 12:48:22,11,aggressor,50.0,Player_172.19.114.48,Player_172.19.116.18,Player_172.19.114.48,1,8,0,2,1,1,2,2,1,1,2,2,2,2
2024-05-23 12:48:39,11,aggressor,50.0,Player_172.19.114.48,Player_172.19.120.104,Player_172.19.114.48,1,9,2,2,3,1,3,2,1,1,0,3,0,2
2024-05-23 12:48:45,11,aggressor,50.0,Player_172.19.114.48,Player_172.19.137.208,Player_172.19.114.48,1,9,0,3,3,1,4,2,0,1,0,3,2,2
2024-05-23 12:49:00,11,aggressor,50.0,Player_172.19.114.48,Player_172.19.120.104,Player_172.19.114.48,1,12,2,3,4,1,3,2,2,1,0,4,1,2
2024-05-23 12:49:48,11,aggressor,50.0,Player_172.19.114.48,Player_172.19.137.208,Player_172.19.114.48,1,12,0,4,4,1,5,2,0,1,0,4,3,2
2024-05-23 12:49:51,11,aggressor,50.0,Player_172.19.114.48,Player_172.19.117.18,Player_172.19.114.48,1,8,3,4,3,1,2,2,0,1,0,4,0,3
2024-05-23 12:50:00,11,aggressor,50.0,Player_172.19.114.48,Player_172.19.116.18,Player_172.19.114.48,1,12,1,4,2,1,3,2,1,2,2,4,3,3
2024-05-23 12:50:07,11,aggressor,50.0,Player_172.19.114.48,Player_172.19.117.18,Player_172.19.114.48,1,9,3,4,4,1,2,2,0,2,0,4,0,4
2024-05-23 12:50:07,11,aggressor,50.0,Player_172.19.114.48,Player_172.19.114.48,Player_172.19.114.48,2,12,2,4,2,2,4,2,0,2,0,4,4,4
2024-05-23 12:50:23,11,aggressor,50.0,Player_172.19.114.48,Player_172.19.116.18,Player_172.19.114.48,2,13,1,4,3,2,3,2,1,3,2,4,3,4
2024-05-23 12:50:25,11,aggressor,50.0,Player_172.19.114.48,Player_172.19.137.208,Player_172.19.114.48,2,14,0,5,5,2,6,2,0,3,0,4,3,4
2024-05-23 12:50:30,11,aggressor,50.0,Player_172.19.114.48,Player_172.19.114.48,Player_172.19.114.48,3,13,2,5,3,3,4,2,0,3,0,4,4,4
2024-05-23 12:50:48,11,aggressor,50.0,Player_172.19.114.48,Player_172.19.116.18,Player_172.19.114.48,3,15,1,5,4,3,3,2,1,4,2,4,4,4
2024-05-23 12:50:51,11,aggressor,50.0,Player_172.19.114.48,Player_172.19.117.18,Player_172.19.114.48,3,10,3,5,5,3,2,2,0,4,0,4,0,5
