game_round,map,latency,player_id,player_ip,score
1,aggressor,0.0,1,Player_172.19.137.208,17.0
1,aggressor,0.0,2,Player_172.19.114.48,20.0
1,aggressor,0.0,3,Player_172.19.119.51,18.0
1,aggressor,0.0,4,Player_172.19.116.18,1.0
1,aggressor,0.0,5,Player_172.19.120.104,6.0
1,aggressor,0.0,6,Player_172.19.117.18,18.0
2,wrackdm17,0.0,1,Player_172.19.137.208,11.0
2,wrackdm17,0.0,2,Player_172.19.114.48,19.0
2,wrackdm17,0.0,3,Player_172.19.119.51,16.0
2,wrackdm17,0.0,4,Player_172.19.116.18,0.0
2,wrackdm17,0.0,5,Player_172.19.120.104,2.0
2,wrackdm17,0.0,6,Player_172.19.117.18,9.0
3,aggressor,0.0,1,Player_172.19.137.208,14.0
3,aggressor,0.0,2,Player_172.19.114.48,22.0
3,aggressor,0.0,3,Player_172.19.119.51,20.0
3,aggressor,0.0,4,Player_172.19.116.18,2.0
3,aggressor,0.0,5,Player_172.19.120.104,8.0
3,aggressor,0.0,6,Player_172.19.117.18,15.0
4,wrackdm17,0.0,1,Player_172.19.137.208,14.0
4,wrackdm17,0.0,2,Player_172.19.114.48,18.0
4,wrackdm17,0.0,3,Player_172.19.119.51,7.0
4,wrackdm17,0.0,4,Player_172.19.116.18,0.0
4,wrackdm17,0.0,5,Player_172.19.120.104,5.0
4,wrackdm17,0.0,6,Player_172.19.117.18,9.0
5,kaos2,0.0,1,Player_172.19.137.208,0.0
5,kaos2,0.0,2,Player_172.19.114.48,0.0
5,kaos2,0.0,3,Player_172.19.119.51,1.0
5,kaos2,0.0,4,Player_172.19.116.18,0.0
5,kaos2,0.0,5,Player_172.19.120.104,0.0
5,kaos2,0.0,6,Player_172.19.117.18,0.0
6,aggressor,200.0,1,Player_172.19.137.208,12.0
6,aggressor,200.0,2,Player_172.19.114.48,22.0
6,aggressor,200.0,3,Player_172.19.119.51,9.0
6,aggressor,200.0,4,Player_172.19.116.18,1.0
6,aggressor,200.0,5,Player_172.19.120.104,23.0
6,aggressor,200.0,6,Player_172.19.117.18,3.0
7,wrackdm17,200.0,1,Player_172.19.137.208,1.0
7,wrackdm17,200.0,2,Player_172.19.114.48,8.0
7,wrackdm17,200.0,3,Player_172.19.119.51,5.0
7,wrackdm17,200.0,4,Player_172.19.116.18,0.0
7,wrackdm17,200.0,5,Player_172.19.120.104,16.0
7,wrackdm17,200.0,6,Player_172.19.117.18,1.0
8,aggressor,200.0,1,Player_172.19.137.208,22.0
8,aggressor,200.0,2,Player_172.19.114.48,20.0
8,aggressor,200.0,3,Player_172.19.119.51,20.0
8,aggressor,200.0,4,Player_172.19.116.18,5.0
8,aggressor,200.0,5,Player_172.19.120.104,15.0
