timestamp,game_round,map,latency,event,killer_id,victim_id,weapon_id,killer_ip,victim_ip,weapon,player_id,score,player_ip,points,log_line,log_score
2024-05-23 11:44:15,1,aggressor,0.0,Kill,1.0,4.0,3.0,Player_172.19.137.208,Player_172.19.116.18,MOD_MACHINEGUN,1.0,1.0,Player_172.19.137.208,1.0,2024-05-23 11:44:15: \x08 \x08Kill: 1 4 3: Player_172.19.137.208 killed Player_172.19.116.18 by MOD_MACHINEGUN\x08 \x08PlayerScore: 1 1: Player_172.19.137.208 now has 1 points\x08 \x08Challenge: 1 202 1: Client 1 got award 202\x08 \x08Challenge: 1 1 1: Client 1 got award 1\x08 \x08Challenge: 4 2 1: Client 4 got award 2,1.0
2024-05-23 11:44:32,1,aggressor,0.0,Kill,1.0,5.0,4.0,Player_172.19.137.208,Player_172.19.120.104,MOD_GRENADE,1.0,2.0,Player_172.19.137.208,2.0,2024-05-23 11:44:32: \x08 \x08Kill: 1 5 4: Player_172.19.137.208 killed Player_172.19.120.104 by MOD_GRENADE\x08 \x08PlayerScore: 1 2: Player_172.19.137.208 now has 2 points\x08 \x08Challenge: 1 204 1: Client 1 got award 204\x08 \x08Challenge: 1 1 1: Client 1 got award 1\x08 \x08Challenge: 5 2 1: Client 5 got award 2,2.0
2024-05-23 11:44:32,1,aggressor,0.0,Kill,1.0,4.0,4.0,Player_172.19.137.208,Player_172.19.116.18,MOD_GRENADE,1.0,3.0,Player_172.19.137.208,3.0,2024-05-23 11:44:32: \x08 \x08Kill: 1 4 4: Player_172.19.137.208 killed Player_172.19.116.18 by MOD_GRENADE\x08 \x08PlayerScore: 1 3: Player_172.19.137.208 now has 3 points\x08 \x08Challenge: 1 204 1: Client 1 got award 204\x08 \x08Challenge: 1 1 1: Client 1 got award 1\x08 \x08Challenge: 4 2 1: Client 4 got award 2\x08 \x08Challenge: 1 302 1: Client 1 got award 302,3.0
2024-05-23 11:44:33,1,aggressor,0.0,Kill,1.0,3.0,4.0,Player_172.19.137.208,Player_172.19.119.51,MOD_GRENADE,1.0,4.0,Player_172.19.137.208,4.0,2024-05-23 11:44:33: \x08 \x08Kill: 1 3 4: Player_172.19.137.208 killed Player_172.19.119.51 by MOD_GRENADE\x08 \x08PlayerScore: 1 4: Player_172.19.137.208 now has 4 points\x08 \x08Challenge: 1 204 1: Client 1 got award 204\x08 \x08Challenge: 1 1 1: Client 1 got award 1\x08 \x08Challenge: 3 2 1: Client 3 got award 2\x08 \x08Challenge: 1 302 1: Client 1 got award 302,4.0
2024-05-23 11:44:43,1,aggressor,0.0,Kill,1.0,5.0,3.0,Player_172.19.137.208,Player_172.19.120.104,MOD_MACHINEGUN,1.0,5.0,Player_172.19.137.208,5.0,2024-05-23 11:44:43: \x08 \x08Kill: 1 5 3: Player_172.19.137.208 killed Player_172.19.120.104 by MOD_MACHINEGUN\x08 \x08PlayerScore: 1 5: Player_172.19.137.208 now has 5 points\x08 \x08Challenge: 1 202 1: Client 1 got award 202\x08 \x08Challenge: 1 1 1: Client 1 got award 1\x08 \x08Challenge: 5 2 1: Client 5 got award 2,5.0
2024-05-23 11:44:57,1,aggressor,0.0,Kill,1.0,3.0,3.0,Player_172.19.137.208,Player_172.19.119.51,MOD_MACHINEGUN,1.0,6.0,Player_172.19.137.208,6.0,2024-05-23 11:44:57: \x08 \x08Kill: 1 3 3: Player_172.19.137.208 killed Player_172.19.119.51 by MOD_MACHINEGUN\x08 \x08PlayerScore: 1 6: Player_172.19.137.208 now has 6 points\x08 \x08Challenge: 1 202 1: Client 1 got award 202\x08 \x08Challenge: 1 1 1: Client 1 got award 1\x08 \x08Challenge: 3 2 1: Client 3 got award 2,6.0
2024-05-23 11:45:39,1,aggressor,0.0,Kill,1.0,4.0,3.0,Player_172.19.137.208,Player_172.19.116.18,MOD_MACHINEGUN,1.0,7.0,Player_172.19.137.208,7.0,2024-05-23 11:45:39: \x08 \x08Kill: 1 4 3: Player_172.19.137.208 killed Player_172.19.116.18 by MOD_MACHINEGUN\x08 \x08PlayerScore: 1 7: Player_172.19.137.208 now has 7 points\x08 \x08Challenge: 1 202 1: Client 1 got award 202\x08 \x08Challenge: 1 1 1: Client 1 got award 1\x08 \x08Challenge: 4 2 1: Client 4 got award 2,7.0
2024-05-23 11:45:45,1,aggressor,0.0,Kill,1.0,3.0,7.0,Player_172.19.137.208,Player_172.19.119.51,MOD_ROCKET_SPLASH,1.0,8.0,Player_172.19.137.208,8.0,2024-05-23 11:45:45: \x08 \x08Kill: 1 3 7: Player_172.19.137.208 killed Player_172.19.119.51 by MOD_ROCKET_SPLASH\x08 \x08PlayerScore: 1 8: Player_172.19.137.208 now has 8 points\x08 \x08Challenge: 1 205 1: Client 1 got award 205\x08 \x08Challenge: 1 1 1: Client 1 got award 1\x08 \x08Challenge: 3 2 1: Client 3 got award 2,8.0
2024-05-23 11:45:47,1,aggressor,0.0,Kill,1.0,2.0,7.0,Player_172.19.137.208,Player_172.19.114.48,MOD_ROCKET_SPLASH,1.0,9.0,Player_172.19.137.208,9.0,2024-05-23 11:45:47: \x08 \x08Kill: 1 2 7: Player_172.19.137.208 killed Player_172.19.114.48 by MOD_ROCKET_SPLASH\x08 \x08PlayerScore: 1 9: Player_172.19.137.208 now has 9 points\x08 \x08Challenge: 1 205 1: Client 1 got award 205\x08 \x08Challenge: 1 1 1: Client 1 got award 1\x08 \x08Challenge: 2 2 1: Client 2 got award 2\x08 \x08Challenge: 1 302 1: Client 1 got award 302,9.0
2024-05-23 11:46:29,1,aggressor,0.0,Kill,1.0,2.0,3.0,Player_172.19.137.208,Player_172.19.114.48,MOD_MACHINEGUN,1.0,10.0,Player_172.19.137.208,10.0,2024-05-23 11:46:29: \x08 \x08Kill: 1 2 3: Player_172.19.137.208 killed Player_172.19.114.48 by MOD_MACHINEGUN\x08 \x08PlayerScore: 1 10: Player_172.19.137.208 now has 10 points\x08 \x08Challenge: 1 202 1: Client 1 got award 202\x08 \x08Challenge: 1 1 1: Client 1 got award 1\x08 \x08Challenge: 2 2 1: Client 2 got award 2,10.0
2024-05-23 11:46:40,1,aggressor,0.0,Kill,1.0,5.0,3.0,Player_172.19.137.208,Player_172.19.120.104,MOD_MACHINEGUN,1.0,11.0,Player_172.19.137.208,11.0,2024-05-23 11:46:40: \x08 \x08Kill: 1 5 3: Player_172.19.137.208 killed Player_172.19.120.104 by MOD_MACHINEGUN\x08 \x08PlayerScore: 1 11: Player_172.19.137.208 now has 11 points\x08 \x08Challenge: 1 202 1: Client 1 got award 202\x08 \x08Challenge: 1 1 1: Client 1 got award 1\x08 \x08Challenge: 5 2 1: Client 5 got award 2,11.0
2024-05-23 11:47:26,1,aggressor,0.0,Kill,1.0,5.0,6.0,Player_172.19.137.208,Player_172.19.120.104,MOD_ROCKET,1.0,12.0,Player_172.19.137.208,12.0,2024-05-23 11:47:26: \x08 \x08Kill: 1 5 6: Player_172.19.137.208 killed Player_172.19.120.104 by MOD_ROCKET\x08 \x08PlayerScore: 1 12: Player_172.19.137.208 now has 12 points\x08 \x08Challenge: 1 205 1: Client 1 got award 205\x08 \x08Challenge: 1 1 1: Client 1 got award 1\x08 \x08Challenge: 5 2 1: Client 5 got award 2,12.0
2024-05-23 11:47:49,1,aggressor,0.0,Kill,1.0,5.0,7.0,Player_172.19.137.208,Player_172.19.120.104,MOD_ROCKET_SPLASH,1.0,13.0,Player_172.19.137.208,13.0,2024-05-23 11:47:49: \x08 \x08Kill: 1 5 7: Player_172.19.137.208 killed Player_172.19.120.104 by MOD_ROCKET_SPLASH\x08 \x08PlayerScore: 1 13: Player_172.19.137.208 now has 13 points\x08 \x08Challenge: 1 205 1: Client 1 got award 205\x08 \x08Challenge: 1 1 1: Client 1 got award 1\x08 \x08Challenge: 5 2 1: Client 5 got award 2,13.0
