game_round,map,latency,player_id,player_ip,score
1.0,wrackdm17,,1022.0,<world>,0.0
1.0,wrackdm17,,1.0,Player_138.25.249.38,1.0
1.0,wrackdm17,,2.0,Player_138.25.249.94,0.0
1.0,wrackdm17,,0.0,Player_138.25.249.93,0.0
1.0,wrackdm17,,3.0,Player_138.25.249.81,0.0
2.0,aggressor,,1022.0,<world>,0.0
2.0,aggressor,,1.0,Player_138.25.249.38,9.0
2.0,aggressor,,2.0,Player_138.25.249.94,10.0
2.0,aggressor,,0.0,Player_138.25.249.93,8.0
2.0,aggressor,,3.0,Player_138.25.249.81,10.0
3.0,wrackdm17,,1022.0,<world>,0.0
3.0,wrackdm17,,1.0,Player_138.25.249.38,0.0
3.0,wrackdm17,,2.0,Player_138.25.249.94,1.0
3.0,wrackdm17,,0.0,Player_138.25.249.93,16.0
3.0,wrackdm17,,3.0,Player_138.25.249.81,6.0
4.0,kaos2,,1022.0,<world>,0.0
4.0,kaos2,,1.0,Player_138.25.249.38,3.0
4.0,kaos2,,2.0,Player_138.25.249.94,5.0
4.0,kaos2,,0.0,Player_138.25.249.93,1.0
4.0,kaos2,,3.0,Player_138.25.249.81,0.0
5.0,aggressor,0.0,1022.0,<world>,0.0
5.0,aggressor,0.0,1.0,Player_138.25.249.38,15.0
5.0,aggressor,0.0,2.0,Player_138.25.249.94,8.0
5.0,aggressor,0.0,0.0,Player_138.25.249.93,11.0
5.0,aggressor,0.0,3.0,Player_138.25.249.81,21.0
6.0,wrackdm17,0.0,1022.0,<world>,0.0
6.0,wrackdm17,0.0,1.0,Player_138.25.249.38,6.0
6.0,wrackdm17,0.0,2.0,Player_138.25.249.94,10.0
6.0,wrackdm17,0.0,0.0,Player_138.25.249.93,5.0
6.0,wrackdm17,0.0,3.0,Player_138.25.249.81,6.0
7.0,aggressor,0.0,1022.0,<world>,0.0
7.0,aggressor,0.0,1.0,Player_138.25.249.38,6.0
7.0,aggressor,0.0,2.0,Player_138.25.249.94,9.0
7.0,aggressor,0.0,0.0,Player_138.25.249.93,16.0
7.0,aggressor,0.0,3.0,Player_138.25.249.81,11.0
8.0,wrackdm17,200.0,1022.0,<world>,0.0
8.0,wrackdm17,200.0,1.0,Player_138.25.249.38,8.0
8.0,wrackdm17,200.0,2.0,Player_138.25.249.94,2.0
8.0,wrackdm17,200.0,0.0,Player_138.25.249.93,15.0
8.0,wrackdm17,200.0,3.0,Player_138.25.249.81,6.0
9.0,aggressor,200.0,1022.0,<world>,0.0
9.0,aggressor,200.0,1.0,Player_138.25.249.38,7.0
9.0,aggressor,200.0,2.0,Player_138.25.249.94,9.0
9.0,aggressor,200.0,0.0,Player_138.25.249.93,20.0
9.0,aggressor,200.0,3.0,Player_138.25.249.81,16.0
10.0,wrackdm17,100.0,1022.0,<world>,0.0
10.0,wrackdm17,100.0,1.0,Player_138.25.249.38,7.0
10.0,wrackdm17,100.0,2.0,Player_138.25.249.94,10.0
10.0,wrackdm17,100.0,0.0,Player_138.25.249.93,6.0
10.0,wrackdm17,100.0,3.0,Player_138.25.249.81,11.0
11.0,aggressor,100.0,1022.0,<world>,0.0
11.0,aggressor,100.0,1.0,Player_138.25.249.38,12.0
11.0,aggressor,100.0,2.0,Player_138.25.249.94,11.0
11.0,aggressor,100.0,0.0,Player_138.25.249.93,19.0
11.0,aggressor,100.0,3.0,Player_138.25.249.81,11.0
12.0,wrackdm17,50.0,1022.0,<world>,0.0
12.0,wrackdm17,50.0,1.0,Player_138.25.249.38,10.0
12.0,wrackdm17,50.0,2.0,Player_138.25.249.94,8.0
12.0,wrackdm17,50.0,0.0,Player_138.25.249.93,10.0
12.0,wrackdm17,50.0,3.0,Player_138.25.249.81,7.0
13.0,aggressor,150.0,1022.0,<world>,0.0
13.0,aggressor,150.0,1.0,Player_138.25.249.38,5.0
13.0,aggressor,150.0,2.0,Player_138.25.249.94,10.0
13.0,aggressor,150.0,0.0,Player_138.25.249.93,16.0
13.0,aggressor,150.0,3.0,Player_138.25.249.81,13.0
14.0,wrackdm17,150.0,1022.0,<world>,0.0
14.0,wrackdm17,150.0,1.0,Player_138.25.249.38,6.0
14.0,wrackdm17,150.0,2.0,Player_138.25.249.94,12.0
14.0,wrackdm17,150.0,0.0,Player_138.25.249.93,15.0
14.0,wrackdm17,150.0,3.0,Player_138.25.249.81,15.0
