game_round,map,latency,player_id,player_ip,score
1,wrackdm17,,1,,0.0
1,wrackdm17,,2,Player_138.25.249.93,1.0
1,wrackdm17,,3,Player_138.25.249.38,0.0
1,wrackdm17,,4,Player_138.25.249.94,0.0
1,wrackdm17,,5,Player_138.25.249.81,0.0
2,aggressor,,1,,0.0
2,aggressor,,2,Player_138.25.249.93,5.0
2,aggressor,,3,Player_138.25.249.38,7.0
2,aggressor,,4,Player_138.25.249.94,13.0
2,aggressor,,5,Player_138.25.249.81,9.0
3,wrackdm17,,1,,0.0
3,wrackdm17,,2,Player_138.25.249.93,10.0
3,wrackdm17,,3,Player_138.25.249.38,0.0
3,wrackdm17,,4,Player_138.25.249.94,1.0
3,wrackdm17,,5,Player_138.25.249.81,0.0
4,kaos2,,1,,0.0
4,kaos2,,2,Player_138.25.249.93,1.0
4,kaos2,,3,Player_138.25.249.38,1.0
4,kaos2,,4,Player_138.25.249.94,1.0
4,kaos2,,5,Player_138.25.249.81,0.0
5,aggressor,0.0,1,,0.0
5,aggressor,0.0,2,Player_138.25.249.93,10.0
5,aggressor,0.0,3,Player_138.25.249.38,14.0
5,aggressor,0.0,4,Player_138.25.249.94,8.0
5,aggressor,0.0,5,Player_138.25.249.81,20.0
6,wrackdm17,0.0,1,,0.0
6,wrackdm17,0.0,2,Player_138.25.249.93,3.0
6,wrackdm17,0.0,3,Player_138.25.249.38,2.0
6,wrackdm17,0.0,4,Player_138.25.249.94,2.0
6,wrackdm17,0.0,5,Player_138.25.249.81,6.0
7,aggressor,0.0,1,,0.0
7,aggressor,0.0,2,Player_138.25.249.93,15.0
7,aggressor,0.0,3,Player_138.25.249.38,4.0
7,aggressor,0.0,4,Player_138.25.249.94,9.0
7,aggressor,0.0,5,Player_138.25.249.81,11.0
8,wrackdm17,200.0,1,,0.0
8,wrackdm17,200.0,2,Player_138.25.249.93,11.0
8,wrackdm17,200.0,3,Player_138.25.249.38,4.0
8,wrackdm17,200.0,4,Player_138.25.249.94,1.0
8,wrackdm17,200.0,5,Player_138.25.249.81,6.0
9,aggressor,200.0,1,,0.0
9,aggressor,200.0,2,Player_138.25.249.93,20.0
9,aggressor,200.0,3,Player_138.25.249.38,7.0
9,aggressor,200.0,4,Player_138.25.249.94,7.0
9,aggressor,200.0,5,Player_138.25.249.81,16.0
10,wrackdm17,100.0,1,,0.0
10,wrackdm17,100.0,2,Player_138.25.249.93,4.0
10,wrackdm17,100.0,3,Player_138.25.249.38,5.0
10,wrackdm17,100.0,4,Player_138.25.249.94,4.0
10,wrackdm17,100.0,5,Player_138.25.249.81,8.0
11,aggressor,100.0,1,,0.0
11,aggressor,100.0,2,Player_138.25.249.93,18.0
11,aggressor,100.0,3,Player_138.25.249.38,12.0
11,aggressor,100.0,4,Player_138.25.249.94,11.0
11,aggressor,100.0,5,Player_138.25.249.81,8.0
12,wrackdm17,50.0,1,,0.0
12,wrackdm17,50.0,2,Player_138.25.249.93,6.0
12,wrackdm17,50.0,3,Player_138.25.249.38,8.0
12,wrackdm17,50.0,4,Player_138.25.249.94,0.0
12,wrackdm17,50.0,5,Player_138.25.249.81,7.0
13,aggressor,150.0,1,,0.0
13,aggressor,150.0,2,Player_138.25.249.93,16.0
13,aggressor,150.0,3,Player_138.25.249.38,5.0
13,aggressor,150.0,4,Player_138.25.249.94,10.0
13,aggressor,150.0,5,Player_138.25.249.81,13.0
14,wrackdm17,150.0,1,,0.0
14,wrackdm17,150.0,2,Player_138.25.249.93,11.0
14,wrackdm17,150.0,3,Player_138.25.249.38,4.0
14,wrackdm17,150.0,4,Player_138.25.249.94,4.0
14,wrackdm17,150.0,5,Player_138.25.249.81,8.0
