timestamp,game_round,map,latency,killer_ip,victim_ip,player_ip,suicide_count,deaths_total,killed_by_Player_172.19.137.208,killed_Player_172.19.137.208,killed_by_Player_172.19.114.48,killed_Player_172.19.114.48,killed_by_Player_172.19.119.51,killed_Player_172.19.119.51,killed_by_Player_172.19.116.18,killed_Player_172.19.116.18,killed_by_Player_172.19.120.104,killed_Player_172.19.120.104,killed_by_Player_172.19.117.18,killed_Player_172.19.117.18
2024-05-23 13:11:03,16,aggressor,150.0,Player_172.19.137.208,Player_172.19.119.51,Player_172.19.137.208,0,2,1,0,1,0,0,1,0,0,0,0,0,0
2024-05-23 13:11:21,16,aggressor,150.0,Player_172.19.137.208,Player_172.19.119.51,Player_172.19.137.208,0,4,2,0,1,0,0,2,0,0,0,0,1,0
2024-05-23 13:11:41,16,aggressor,150.0,Player_172.19.137.208,Player_172.19.119.51,Player_172.19.137.208,0,5,3,0,1,0,0,3,0,0,0,0,1,0
2024-05-23 13:11:49,16,aggressor,150.0,Player_172.19.137.208,Player_172.19.120.104,Player_172.19.137.208,0,8,1,0,3,0,1,3,0,0,0,1,3,0
2024-05-23 13:11:56,16,aggressor,150.0,Player_172.19.137.208,Player_172.19.117.18,Player_172.19.137.208,0,5,1,0,3,0,0,3,0,0,1,1,0,1
2024-05-23 13:11:58,16,aggressor,150.0,Player_172.19.137.208,Player_172.19.116.18,Player_172.19.137.208,0,12,1,0,3,0,2,3,0,1,0,1,6,1
2024-05-23 13:13:15,16,aggressor,150.0,Player_172.19.137.208,Player_172.19.119.51,Player_172.19.137.208,0,8,4,0,3,0,0,4,0,1,0,1,1,1
2024-05-23 13:13:44,16,aggressor,150.0,Player_172.19.137.208,Player_172.19.116.18,Player_172.19.137.208,0,21,2,0,4,0,7,4,0,2,1,1,7,1
2024-05-23 13:14:09,16,aggressor,150.0,Player_172.19.137.208,Player_172.19.117.18,Player_172.19.137.208,0,8,2,0,5,0,0,4,0,2,1,1,0,2
2024-05-23 13:14:40,16,aggressor,150.0,Player_172.19.137.208,Player_172.19.114.48,Player_172.19.137.208,0,14,1,0,1,1,7,4,1,2,2,1,2,2
