game_round,map,latency,player_id,player_ip,score
1,kaos2,0,1,Player_172.19.137.208,4.0
1,kaos2,0,2,Player_172.19.114.48,0.0
1,kaos2,0,3,Player_172.19.119.51,1.0
1,kaos2,0,4,Player_172.19.116.18,0.0
1,kaos2,0,5,Player_172.19.120.104,0.0
1,kaos2,0,6,Player_172.19.117.18,0.0
2,aggressor,0,1,Player_172.19.137.208,8.0
2,aggressor,0,2,Player_172.19.114.48,5.0
2,aggressor,0,3,Player_172.19.119.51,8.0
2,aggressor,0,4,Player_172.19.116.18,0.0
2,aggressor,0,5,Player_172.19.120.104,0.0
2,aggressor,0,6,Player_172.19.117.18,0.0
3,wrackdm17,0,1,Player_172.19.137.208,1.0
3,wrackdm17,0,2,Player_172.19.114.48,0.0
3,wrackdm17,0,3,Player_172.19.119.51,0.0
3,wrackdm17,0,4,Player_172.19.116.18,0.0
3,wrackdm17,0,5,Player_172.19.120.104,0.0
3,wrackdm17,0,6,Player_172.19.117.18,0.0
4,aggressor,0,1,Player_172.19.137.208,6.0
4,aggressor,0,2,Player_172.19.114.48,14.0
4,aggressor,0,3,Player_172.19.119.51,9.0
4,aggressor,0,4,Player_172.19.116.18,0.0
4,aggressor,0,5,Player_172.19.120.104,0.0
4,aggressor,0,6,Player_172.19.117.18,0.0
5,wrackdm17,200,1,Player_172.19.137.208,3.0
5,wrackdm17,200,2,Player_172.19.114.48,6.0
5,wrackdm17,200,3,Player_172.19.119.51,1.0
5,wrackdm17,200,4,Player_172.19.116.18,0.0
5,wrackdm17,200,5,Player_172.19.120.104,0.0
5,wrackdm17,200,6,Player_172.19.117.18,0.0
6,kaos2,200,1,Player_172.19.137.208,0.0
6,kaos2,200,2,Player_172.19.114.48,0.0
6,kaos2,200,3,Player_172.19.119.51,0.0
6,kaos2,200,4,Player_172.19.116.18,0.0
6,kaos2,200,5,Player_172.19.120.104,0.0
6,kaos2,200,6,Player_172.19.117.18,0.0
7,aggressor,200,1,Player_172.19.137.208,14.0
7,aggressor,200,2,Player_172.19.114.48,7.0
7,aggressor,200,3,Player_172.19.119.51,9.0
7,aggressor,200,4,Player_172.19.116.18,0.0
7,aggressor,200,5,Player_172.19.120.104,0.0
7,aggressor,200,6,Player_172.19.117.18,0.0
8,wrackdm17,100,1,Player_172.19.137.208,3.0
8,wrackdm17,100,2,Player_172.19.114.48,3.0
8,wrackdm17,100,3,Player_172.19.119.51,1.0
8,wrackdm17,100,4,Player_172.19.116.18,0.0
8,wrackdm17,100,5,Player_172.19.120.104,0.0
8,wrackdm17,100,6,Player_172.19.117.18,0.0
9,kaos2,100,1,Player_172.19.137.208,0.0
9,kaos2,100,2,Player_172.19.114.48,0.0
9,kaos2,100,3,Player_172.19.119.51,1.0
9,kaos2,100,4,Player_172.19.116.18,0.0
9,kaos2,100,5,Player_172.19.120.104,0.0
9,kaos2,100,6,Player_172.19.117.18,0.0
10,aggressor,100,1,Player_172.19.137.208,15.0
10,aggressor,100,2,Player_172.19.114.48,8.0
10,aggressor,100,3,Player_172.19.119.51,8.0
10,aggressor,100,4,Player_172.19.116.18,0.0
10,aggressor,100,5,Player_172.19.120.104,0.0
10,aggressor,100,6,Player_172.19.117.18,0.0
11,wrackdm17,100,1,Player_172.19.137.208,0.0
11,wrackdm17,100,2,Player_172.19.114.48,0.0
11,wrackdm17,100,3,Player_172.19.119.51,1.0
11,wrackdm17,100,4,Player_172.19.116.18,0.0
11,wrackdm17,100,5,Player_172.19.120.104,0.0
11,wrackdm17,100,6,Player_172.19.117.18,0.0
12,aggressor,50,1,Player_172.19.137.208,0.0
12,aggressor,50,2,Player_172.19.114.48,0.0
12,aggressor,50,3,Player_172.19.119.51,1.0
12,aggressor,50,4,Player_172.19.116.18,0.0
12,aggressor,50,5,Player_172.19.120.104,0.0
12,aggressor,50,6,Player_172.19.117.18,0.0
13,kaos2,50,1,Player_172.19.137.208,4.0
13,kaos2,50,2,Player_172.19.114.48,0.0
13,kaos2,50,3,Player_172.19.119.51,0.0
13,kaos2,50,4,Player_172.19.116.18,0.0
13,kaos2,50,5,Player_172.19.120.104,0.0
13,kaos2,50,6,Player_172.19.117.18,0.0
14,wrackdm17,50,1,Player_172.19.137.208,3.0
14,wrackdm17,50,2,Player_172.19.114.48,10.0
14,wrackdm17,50,3,Player_172.19.119.51,6.0
14,wrackdm17,50,4,Player_172.19.116.18,0.0
14,wrackdm17,50,5,Player_172.19.120.104,0.0
14,wrackdm17,50,6,Player_172.19.117.18,0.0
15,aggressor,50,1,Player_172.19.137.208,13.0
15,aggressor,50,2,Player_172.19.114.48,14.0
15,aggressor,50,3,Player_172.19.119.51,10.0
15,aggressor,50,4,Player_172.19.116.18,0.0
15,aggressor,50,5,Player_172.19.120.104,0.0
15,aggressor,50,6,Player_172.19.117.18,0.0
16,wrackdm17,150,1,Player_172.19.137.208,6.0
16,wrackdm17,150,2,Player_172.19.114.48,5.0
16,wrackdm17,150,3,Player_172.19.119.51,3.0
16,wrackdm17,150,4,Player_172.19.116.18,0.0
16,wrackdm17,150,5,Player_172.19.120.104,0.0
16,wrackdm17,150,6,Player_172.19.117.18,0.0
17,kaos2,150,1,Player_172.19.137.208,1.0
17,kaos2,150,2,Player_172.19.114.48,0.0
17,kaos2,150,3,Player_172.19.119.51,1.0
17,kaos2,150,4,Player_172.19.116.18,0.0
17,kaos2,150,5,Player_172.19.120.104,0.0
17,kaos2,150,6,Player_172.19.117.18,0.0
18,aggressor,150,1,Player_172.19.137.208,1.0
18,aggressor,150,2,Player_172.19.114.48,16.0
18,aggressor,150,3,Player_172.19.119.51,9.0
18,aggressor,150,4,Player_172.19.116.18,0.0
18,aggressor,150,5,Player_172.19.120.104,0.0
18,aggressor,150,6,Player_172.19.117.18,0.0
