game_round,map,latency,player_id,player_ip,score
1,aggressor,0.0,1,Player_172.19.137.208,86.0
1,aggressor,0.0,2,Player_172.19.114.48,87.0
1,aggressor,0.0,3,Player_172.19.119.51,81.0
1,aggressor,0.0,4,Player_172.19.116.18,24.0
1,aggressor,0.0,5,Player_172.19.120.104,83.0
1,aggressor,0.0,6,Player_172.19.117.18,77.0
2,wrackdm17,0.0,1,Player_172.19.137.208,162.0
2,wrackdm17,0.0,2,Player_172.19.114.48,158.0
2,wrackdm17,0.0,3,Player_172.19.119.51,165.0
2,wrackdm17,0.0,4,Player_172.19.116.18,120.0
2,wrackdm17,0.0,5,Player_172.19.120.104,160.0
2,wrackdm17,0.0,6,Player_172.19.117.18,164.0
3,aggressor,0.0,1,Player_172.19.137.208,240.0
3,aggressor,0.0,2,Player_172.19.114.48,251.0
3,aggressor,0.0,3,Player_172.19.119.51,239.0
3,aggressor,0.0,4,Player_172.19.116.18,242.0
3,aggressor,0.0,5,Player_172.19.120.104,248.0
3,aggressor,0.0,6,Player_172.19.117.18,249.0
4,wrackdm17,0.0,1,Player_172.19.137.208,322.0
4,wrackdm17,0.0,2,Player_172.19.114.48,318.0
4,wrackdm17,0.0,3,Player_172.19.119.51,323.0
4,wrackdm17,0.0,4,Player_172.19.116.18,304.0
4,wrackdm17,0.0,5,Player_172.19.120.104,310.0
4,wrackdm17,0.0,6,Player_172.19.117.18,325.0
5,kaos2,0.0,1,Player_172.19.137.208,0.0
5,kaos2,0.0,2,Player_172.19.114.48,0.0
5,kaos2,0.0,3,Player_172.19.119.51,333.0
5,kaos2,0.0,4,Player_172.19.116.18,0.0
5,kaos2,0.0,5,Player_172.19.120.104,0.0
5,kaos2,0.0,6,Player_172.19.117.18,0.0
6,aggressor,200.0,1,Player_172.19.137.208,380.0
6,aggressor,200.0,2,Player_172.19.114.48,399.0
6,aggressor,200.0,3,Player_172.19.119.51,400.0
6,aggressor,200.0,4,Player_172.19.116.18,395.0
6,aggressor,200.0,5,Player_172.19.120.104,403.0
6,aggressor,200.0,6,Player_172.19.117.18,390.0
7,wrackdm17,200.0,1,Player_172.19.137.208,441.0
7,wrackdm17,200.0,2,Player_172.19.114.48,462.0
7,wrackdm17,200.0,3,Player_172.19.119.51,460.0
7,wrackdm17,200.0,4,Player_172.19.116.18,0.0
7,wrackdm17,200.0,5,Player_172.19.120.104,456.0
7,wrackdm17,200.0,6,Player_172.19.117.18,450.0
8,aggressor,200.0,1,Player_172.19.137.208,549.0
8,aggressor,200.0,2,Player_172.19.114.48,547.0
8,aggressor,200.0,3,Player_172.19.119.51,545.0
8,aggressor,200.0,4,Player_172.19.116.18,541.0
8,aggressor,200.0,5,Player_172.19.120.104,550.0
8,aggressor,200.0,6,Player_172.19.117.18,0.0
9,wrackdm17,200.0,1,Player_172.19.137.208,617.0
9,wrackdm17,200.0,2,Player_172.19.114.48,621.0
9,wrackdm17,200.0,3,Player_172.19.119.51,616.0
9,wrackdm17,200.0,4,Player_172.19.116.18,0.0
9,wrackdm17,200.0,5,Player_172.19.120.104,620.0
9,wrackdm17,200.0,6,Player_172.19.117.18,594.0
10,kaos2,200.0,1,Player_172.19.137.208,0.0
